,ticker,exchange,assetType,priceCurrency,startDate,endDate
305,000725,SHE,Stock,CNY,2001-01-11,2020-06-19
306,000726,SHE,Stock,CNY,2018-01-01,2020-06-19
307,000727,SHE,Stock,CNY,2018-01-02,2020-06-19
308,000728,SHE,Stock,CNY,2000-01-03,2020-06-19
309,000729,SHE,Stock,CNY,2000-01-03,2020-06-19
310,000730,SHE,Stock,CNY,,
311,000731,SHE,Stock,CNY,2000-01-03,2020-06-19
312,000732,SHE,Stock,CNY,2018-01-01,2020-06-19
313,000733,SHE,Stock,CNY,2000-01-03,2020-06-19
314,000735,SHE,Stock,CNY,2018-01-01,2020-06-19
315,000736,SHE,Stock,CNY,2018-01-01,2020-06-19
316,000737,SHE,Stock,CNY,2007-08-30,2020-06-19
317,000738,SHE,Stock,CNY,2018-01-01,2020-06-19
318,000739,SHE,Stock,CNY,2000-01-03,2020-06-19
319,000748,SHE,Stock,CNY,,
320,000750,SHE,Stock,CNY,2018-01-01,2020-06-19
321,000751,SHE,Stock,CNY,2018-01-02,2020-06-19
322,000752,SHE,Stock,CNY,2000-01-03,2020-06-19
323,000753,SHE,Stock,CNY,2018-01-01,2020-06-19
324,000755,SHE,Stock,CNY,2018-01-02,2020-06-19
325,000756,SHE,Stock,CNY,2000-01-03,2020-06-19
326,000757,SHE,Stock,CNY,2013-02-08,2020-06-19
327,000758,SHE,Stock,CNY,2018-01-01,2020-06-19
328,000759,SHE,Stock,CNY,2018-01-01,2020-06-19
329,000760,SHE,Stock,CNY,2018-01-02,2020-06-03
330,000761,SHE,Stock,CNY,2000-01-03,2020-06-19
331,000762,SHE,Stock,CNY,2018-01-02,2020-06-19
332,000763,SHE,Stock,CNY,,
333,000765,SHE,Stock,CNY,,
334,000766,SHE,Stock,CNY,2018-04-24,2020-06-19
335,000767,SHE,Stock,CNY,2000-01-03,2020-06-19
336,000768,SHE,Stock,CNY,2018-01-01,2020-06-19
337,000769,SHE,Stock,CNY,,
338,000776,SHE,Stock,CNY,2018-01-01,2020-06-19
339,000777,SHE,Stock,CNY,2018-01-01,2020-06-19
340,000778,SHE,Stock,CNY,2000-01-03,2020-06-19
341,000779,SHE,Stock,CNY,2007-08-30,2020-06-19
342,000780,SHE,Stock,CNY,2000-01-03,2020-06-19
343,000782,SHE,Stock,CNY,2018-01-01,2020-06-19
344,000783,SHE,Stock,CNY,2000-01-03,2020-06-19
345,000785,SHE,Stock,CNY,2018-01-01,2020-06-19
