,ticker,exchange,assetType,priceCurrency,startDate,endDate
11123,BEAIX,NMFQS,Mutual Fund,USD,2015-12-30,2016-06-06
11124,BEAM,NASDAQ,Stock,USD,2020-02-06,2020-06-22
11125,BEAM,NASDAQ,Stock,USD,1977-01-03,2014-04-30
11126,BEAM1,NASDAQ,Stock,USD,,
11127,BEAQX,NMFQS,Mutual Fund,USD,2015-12-30,2016-06-06
11128,BEAR,NASDAQ,Stock,USD,,
11129,BEARX,NMFQS,Mutual Fund,USD,1995-12-28,2020-06-22
11130,BEAS,NASDAQ,Stock,USD,,
11131,BEAT,NASDAQ,Stock,USD,2008-03-19,2020-06-22
11132,BEATX,NMFQS,Mutual Fund,USD,2015-12-30,2016-06-06
11133,BEAV,NASDAQ,Stock,USD,1990-04-25,2017-04-21
11134,BEAVX,NMFQS,Mutual Fund,USD,2017-02-01,2018-04-06
11135,BEAYX,NMFQS,Mutual Fund,USD,2006-09-25,2015-11-20
11136,BEAZY,OTCGREY,Stock,USD,,
11137,BEBE,OTCQB,Stock,USD,1998-06-17,2020-06-22
11138,BEC,NYSE,Stock,USD,,
11139,BECEF,PINK,Stock,USD,2016-12-30,2020-05-27
11140,BECIX,NMFQS,Mutual Fund,USD,2017-07-10,2019-12-30
11141,BECN,NASDAQ,Stock,USD,2004-09-23,2020-06-22
11142,BECVY,PINK,Stock,USD,2017-10-18,2020-06-19
11143,BECXX,NMFQS,Mutual Fund,USD,,
11144,BED,NYSE,Stock,USD,,
11145,BEDCX,NMFQS,Mutual Fund,USD,2011-09-09,2020-06-22
11146,BEDIX,NMFQS,Mutual Fund,USD,2008-02-04,2020-06-22
11147,BEDU,NYSE,Stock,USD,2017-05-18,2020-06-22
11148,BEE,NYSE,Stock,USD,2004-07-26,2015-12-11
11149,BEEAX,NMFQS,Mutual Fund,USD,2013-05-16,2020-06-22
11150,BEECX,NMFQS,Mutual Fund,USD,2014-01-02,2020-06-22
11151,BEEF,NASDAQ,Stock,USD,,
11152,BEEHX,NMFQS,Mutual Fund,USD,2008-09-04,2020-06-22
11153,BEEI,OTCMKTS,Stock,USD,2008-06-26,2020-06-16
11154,BEEIX,NMFQS,Mutual Fund,USD,2014-01-02,2020-06-22
11155,BEEN,PINK,Stock,USD,1996-02-01,2020-04-02
11156,BEER,NASDAQ,Stock,USD,,
11157,BEES,PINK,Stock,USD,2017-09-28,2020-06-19
11158,BEFAX,NMFQS,Mutual Fund,USD,2016-03-07,2020-05-15
11159,BEFCX,NMFQS,Mutual Fund,USD,2016-03-07,2020-05-15
11160,BEFIX,NMFQS,Mutual Fund,USD,2016-03-07,2020-05-15
11161,BEFKX,NMFQS,Mutual Fund,USD,2016-03-07,2020-05-15
11162,BEGBX,NMFQS,Mutual Fund,USD,1992-01-07,2020-06-22
11163,BEGI,OTCQB,Stock,USD,1998-01-07,2020-06-22
11164,BEGIX,NMFQS,Mutual Fund,USD,2004-07-01,2020-06-22
11165,BEGRX,NMFQS,Mutual Fund,USD,1980-01-02,2020-06-22
11166,BEGYF,PINK,Stock,USD,2012-01-30,2020-06-22
11167,BEHIX,NMFQS,Mutual Fund,USD,2017-07-10,2020-06-22
11168,BEHKX,NMFQS,Mutual Fund,USD,2017-07-10,2020-06-22
11169,BEHL,PINK,Stock,USD,2008-10-15,2020-06-22
11170,BEI,NYSE,ETF,USD,,
11171,BEIAX,NMFQS,Mutual Fund,USD,,
11172,BEIBX,NMFQS,Mutual Fund,USD,2004-07-01,2017-05-26
11173,BEICX,NMFQS,Mutual Fund,USD,,
11174,BEIIX,NMFQS,Mutual Fund,USD,,
11175,BEIJF,PINK,Stock,USD,2016-03-08,2020-06-22
11176,BEIQ,NASDAQ,Stock,USD,,
11177,BEIYX,NMFQS,Mutual Fund,USD,2018-10-04,2020-06-22
11178,BEKAY,PINK,Stock,USD,2012-02-03,2020-06-22
11179,BEKSF,OTCBB,Stock,USD,2012-07-26,2020-05-13
11180,BEL,NYSE,Stock,USD,2000-08-03,2019-04-17
11181,BELAX,NMFQS,Mutual Fund,USD,2012-12-31,2015-10-28
11182,BELCX,NMFQS,Mutual Fund,USD,2013-01-11,2015-10-26
11183,BELDF,OTCGREY,Stock,USD,2010-09-13,2020-06-22
11184,BELFA,NASDAQ,Stock,USD,1984-09-07,2020-06-22
11185,BELFB,NASDAQ,Stock,USD,1998-07-10,2020-06-22
11186,BELGF,PINK,Stock,USD,2020-04-16,2020-06-19
11187,BELIX,NMFQS,Mutual Fund,USD,2012-12-31,2015-10-27
11188,BELKX,NMFQS,Mutual Fund,USD,2017-07-10,2019-12-30
11189,BELLF,PINK,Stock,USD,2016-01-13,2018-05-18
11190,BELLY,PINK,Stock,USD,2009-11-20,2017-08-18
11191,BELM,,Stock,USD,,
11192,BELP,OTCQX,Stock,USD,2019-11-27,2020-06-22
11193,BELR,PINK,Stock,USD,2016-02-02,2020-04-29
11194,BELRD,PINK,Stock,USD,2017-10-27,2017-11-09
11195,BELRX,NMFQS,Mutual Fund,USD,2013-01-11,2015-10-28
11196,BELSX,NMFQS,Mutual Fund,USD,2015-12-15,2020-06-22
11197,BEMAX,NMFQS,Mutual Fund,USD,2012-01-03,2020-06-22
11198,BEMCX,NMFQS,Mutual Fund,USD,2014-01-02,2020-06-22
11199,BEMG,PINK,Stock,USD,2009-09-14,2020-06-19
11200,BEMIX,NMFQS,Mutual Fund,USD,2011-01-31,2020-06-22
11201,BEMRX,NMFQS,Mutual Fund,USD,2017-01-03,2020-06-22
11202,BEMXX,NMFQS,Mutual Fund,USD,,
11203,BEN,NYSE,Stock,USD,1984-09-07,2020-06-22
11204,BENFX,NMFQS,Mutual Fund,USD,2012-01-04,2019-11-29
11205,BENGF,OTCBB,Stock,USD,2012-08-03,2020-02-26
11206,BENH,PINK,Stock,USD,2015-01-09,2020-03-25
11207,BENIX,NMFQS,Mutual Fund,USD,2011-12-30,2019-11-29
11208,BENUX,NMFQS,Mutual Fund,USD,2017-01-03,2019-11-29
11209,BENZF,PINK,Stock,USD,2018-01-31,2020-06-22
11210,BEOB,PINK,Stock,USD,2012-07-23,2020-06-22
11211,BEOSZ,,Stock,USD,,
11212,BEP,NYSE,Stock,USD,2005-11-15,2020-06-22
11213,BEP-P-A,NYSE,Stock,USD,2020-02-20,2020-06-22
11214,BEPTF,PINK,Stock,USD,2007-07-13,2020-06-22
11215,BEQAX,NMFQS,Mutual Fund,USD,1997-09-30,2020-06-22
11216,BEQGX,NMFQS,Mutual Fund,USD,1991-05-03,2020-06-22
11217,BEQIF,NYSE,Stock,USD,,
11218,BEQIX,NMFQS,Mutual Fund,USD,2014-01-02,2019-07-02
11219,BEQRX,NMFQS,Mutual Fund,USD,2017-10-26,2019-07-02
11220,BERCX,NMFQS,Mutual Fund,USD,2002-05-13,2020-06-22
11221,BERI,OTCMKTS,Stock,USD,2016-01-04,2020-06-22
11222,BERIX,NMFQS,Mutual Fund,USD,1987-09-03,2020-06-22
